"Associate","Location_Name","Type","Ref_No","Location Ref","Id","Notes","Address","City","State","Postal_Code","Address Country","Region","Country","Alternate Factor Region","Group Level 1","Group Level 2","Group Level 3","Group_Associate","Report_Percent","Effective_From","Effective_To","Group_Type","Latitude","Longitude","ANZSIC Code","Opened On","Closed On"
"Downer","_CLOSED_NZ-BP_Central_Tauranga Crossing Stage 2","Other","L9.DNZ.HC0318","5201","","Project Site - Building Construction - New location established following purchase of Hawkins 2033 - Tauranga Crossing Ltd","2 Taurikura Drive, Tauriko","Tauranga","Bay of Plenty","3110","New Zealand","Tauranga","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-37.740885","176.103612","302",2017/05/04,
"Downer","_CLOSED_NZ-BP_Central_The-Depot-Farmers","Other","L9.DNZ.HC0325","5207","","Project Site - Building Construction - New location established following purchase of Hawkins 2039 - Tauranga Crossing Ltd","31 Taurikura Drive, Tauriko","Tauranga","Bay of Plenty","3110","New Zealand","Tauranga","New Zealand",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Transport & Infrastructure","Downer","100.0000",,,"Classification","-37.741582","176.102554","302",2017/10/16,
"Downer","_CLOSED_NZ-BP_Central_The-Depot-Gilmours","Other","L9.DNZ.HC0319","5202","","Project Site - Building Construction - New location established following purchase of Hawkins 2034 - Tauranga Crossing Ltd","5 Taurikura Drive, Tauriko","Tauranga","Bay of Plenty","3073","New Zealand","Tauranga","New Zealand",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Transport & Infrastructure","Downer","100.0000",,,"Classification","-37.741014","176.104118","302",2017/06/19,
"Downer","_CLOSED_NZ-BP_Central_UOW Tauranga Campus","Other","L9.DNZ.HC0321","5203","","Project Site - Building Construction - New location established following purchase of Hawkins 2035 - The University of Waikato","Durham Street","Tauranga","Bay of Plenty","3189","New Zealand","Tauranga","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-37.684281","176.16743","302",2017/07/17,
"Downer","_CLOSED_NZ-BP_Central_Wananga Precinct Te Puia","Other","L9.DNZ.HC0304","5199","","Project Site - Building Construction - New location established following purchase of Hawkins 2031 - NZ Maori Arts & Crafts Institute","Hemo Road, Tihiotonga","Rotorua","Bay of Plenty","3110","New Zealand","Rotorua","New Zealand",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Transport & Infrastructure","Downer","100.0000",,,"Classification","-38.163475","176.249671","302",2017/07/01,
"Downer","_CLOSED_NZ-BP_Central_Zespri Head Office","Other","L9.DNZ.HC0316","5200","","Project Site - Building Construction - New location established following purchase of Hawkins 2032 - Zespri Group Ltd","400 Maunganui Road, Mount Maunganui","Tauranga","Bay of Plenty","3110","New Zealand","Tauranga","New Zealand",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Transport & Infrastructure","Downer","100.0000",,,"Classification","-37.646341","176.190217","302",2017/07/01,
"Downer","_CLOSED_NZ-BP_South-Island_Ashburton Fire Station","Other","L9.DNZ.HI0316","5243","","Project Site - Building Construction - New location established following purchase of Hawkins 2075 - New Zealand Fire Service","332 Burnett Street","Ashburton","Canterbury","8011","New Zealand","Ashburton","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-43.9069686","171.7505008","302",2017/08/21,2018/02/26
"Downer","_CLOSED_NZ-BP_South-Island_Balclutha Primary Schoo","Other","L9.DNZ.HI0320","5247","","Project Site - Building Construction - New location established following purchase of Hawkins 2079 - Balclutha Primary School Board","19 Lanark Street","Balclutha","Canterbury","8011","New Zealand","Balclutha","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-46.2395243","169.742956199999","302",2017/11/19,
"Downer","_CLOSED_NZ-BP_South-Island_CIAL Swirl Replacement","Other","L9.DNZJ.55533","L9.DNZJ.55533","","Project Site - Building Construction - New location established following purchase of Hawkins 2069 - Airways Corporation of NZ","Christchurch Airport,Orchard Road","Christchurch","Canterbury","8011","New Zealand","Christchurch","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-43.4863981","172.536870499999","302",2017/06/02,2017/07/07
"Downer","_CLOSED_NZ-BP_South-Island_KEB DOSE Café Fitout","Other","L9.DNZ.HI0315","5239","","Project Site - Building Construction - New location established following purchase of Hawkins 2071 - WESTEND STORIES LIMITED","65 Cashel Street","Christchurch","Canterbury","8082","New Zealand","Christchurch","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-43.5328097","172.6315719","302",2017/07/07,2017/10/18
"Downer","_CLOSED_NZ-BP_South-Island_KOHA Fitness Fitout","Other","L9.S.26017887","5245","","Project Site - Building Construction - New location established following purchase of Hawkins 2077 - Koha Fitness Christchurch Limi","48 Hereford Street","Christchurch","Canterbury","9230","New Zealand","Christchurch","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-43.5322111","172.6325083","302",2017/09/11,2017/12/08
"Downer","_CLOSED_NZ-BP_South-Island_KPMG Office Fitout","Other","L9.DNZ.HI0322","5249","","Project Site - Building Construction - New location established following purchase of Hawkins 2081 - KPMG","90 Hereford Street","Christchurch","Canterbury","8011","New Zealand","Christchurch","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-43.5322485","172.634727","302",2017/12/04,
