"Associate","Location_Name","Type","Ref_No","Location Ref","Id","Notes","Address","City","State","Postal_Code","Address Country","Region","Country","Alternate Factor Region","Group Level 1","Group Level 2","Group Level 3","Group_Associate","Report_Percent","Effective_From","Effective_To","Group_Type","Latitude","Longitude","ANZSIC Code","Opened On","Closed On"
"Downer",".HOUR.LMC -RICHTER DRI'G PNG CENTURY R","Other","L9.MIN.UED.4501","4501","","",,,,,"","Auckland","New Zealand",,"Operational Control","Operational Control","Mining","Downer","100.0000",,,"Classification",,,,,
"Downer",".HOUR.RICHTER DRILLING - OK TEDI","Other","L9.MIN.UED.4502","4502","","",,,,,"","Auckland","New Zealand",,"Operational Control","Operational Control","Mining","Downer","100.0000",,,"Classification",,,,,
"Downer","[CLOSED] 4 Redwood Lane - Tauriko West Enabling Works","Depot","L9.DNZJ.553912","L9.DNZJ.553912","","",,,,,"","Bay of Plenty","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification",,,,,2026/03/31
"Downer","[CLOSED] Hobart Airport Upgrade Project","Airport","L9.J.170751","170751","","TI-170751 - Airports General Delivery","250 Surf Road, Seven Mile Beach","Tasmania","TAS","7170","","Tasmania","Australia",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification",,,,,2025/05/31
"Downer","[CLOSED] Numurkah Solar Farm","Other","L9.J.381155","IP-39210265","","",,,,,"","Shepparton","Australia",,"Y_Non Operational Control","Y_Non Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification","-37.819015","144.955762","310",,
"Downer","_AI Testing","Other","","","","",,,,,"","North Ryde","Australia",,"Y_Non Operational Control","Y_Non Operational Control","Corporate","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_ AGIS Braddon","Office","L9.J.502002","2001","2001","electricity data only from landlord accounts",,,,,"","Australian Capital Territory","Australia",,"Operational Control","Operational Control","Social Infra & Citizen Serv (SICS)","Downer","100.0000",2018/11/01,2021/10/31,"Classification","-35.273","149.133","760",2016/08/01,2022/12/06
"Downer","_CLOSED_ North Ryde T1 - Level 2","Office","L9.J.102001","1012","","","T1, Triniti Business Campus, 39 Delhi Road","Sydney","NSW","2113","","North Ryde","Australia",,"Operational Control","Operational Control","Corporate","Downer","100.0000",,,"Classification",,,"729",,1900/01/01
"Downer","_CLOSED_ OSM_Waitaki","Other","L9.DNZJ.55876","5088","","Outside Space Management (Gardening) - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Infrastructure Services"" for historical data.","Chelmer Street","Oamaru","Otago","2104","New Zealand","Oamaru","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-45.0978481999999","170.9606991","731",2017/07/01,
"Downer","_CLOSED_25820008 - Winneke Main Substation Switchboard Replacement","Site","L9.J.25820008","UTIL-25820008","","Main Substation Switchboard Replacement - Project finished in September 2022.",,,,,"","Victoria","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2022/10/01
"Downer","_CLOSED_25820008 - Winneke Main Substation Switchboard Replacement","Site","L9.J.25820008","UTIL-25820008","","Main Substation Switchboard Replacement - Project finished in September 2022.",,,,,"","Victoria","Australia",,"Utilities","UTIL-252 - Water Services Projects NSW/VIC","SFP JV","Downer","100.0000",,,"Portfolio",,,,,2022/10/01
"Downer","_CLOSED_25820012 - WTP 25W Lagoon Pond 1 HV and LV Renewals","Site","L9.J.25820012","UTIL-25820012","","WTP 25W Lagoon Pond 1 HV and LV Renewals",,,,,"","Victoria","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2024/12/03
"Downer","_CLOSED_25820012 - WTP 25W Lagoon Pond 1 HV and LV Renewals","Site","L9.J.25820012","UTIL-25820012","","WTP 25W Lagoon Pond 1 HV and LV Renewals",,,,,"","Victoria","Australia",,"Utilities","UTIL-252 - Water Services Projects NSW/VIC","SFP JV","Downer","100.0000",,,"Portfolio",,,,,2024/12/03
"Downer","_CLOSED_86 Collins St Tas","Branch Office","L9.J.105001","9164","","Level 12, 86 Collins Street
HOBART  TAS  7000",,,,,"","Hobart","Australia",,"Operational Control","Operational Control","Corporate","Downer","100.0000",,,"Classification",,,"692",,
"Downer","_CLOSED_Accommodation - NZ","Hotel","L9.WAU.000887","L9.WAU.000887","","",,,,,"","Auckland","New Zealand",,"Operational Control","Operational Control","Corporate","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_Accommodation NT","Facility","","9129","","55 BATTEN RD MARRARA",,,,,"","Darwin","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Corporate","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_ACES - North Queensland Region","Depot","L9.DUA.12005","L9.DUA.12005","","Contract ended June 2022.",,,,,"","Queensland","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2022/06/30
"Downer","_CLOSED_ACT","Plant","L9.S.11000020","L9.S.11000020","","Unallocated regional fuel accounts","ACT","ACT","ACT","","","Australian Capital Territory","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Corporate","Downer","100.0000",,,"Classification",,,"580",,
"Downer","_CLOSED_Adelaide Light Rail - North Terrace Tramli","Other","L9.D.20143004","L9.D.20143004","","","SA","Adelaide","SA","","","South Australia","Australia",,"DT Infrastructure Locations for reallocation","DT Infrastructure Locations for reallocation","DT Infrastructure Locations for reallocation","Downer","100.0000",,,"Portfolio","-34.921297","138.604655","310",,
"Downer","_CLOSED_Adelaide Light Rail - North Terrace Tramli","Other","L9.D.20143004","L9.D.20143004","","","SA","Adelaide","SA","","","South Australia","Australia",,"Operational Control","Operational Control","DT Infrastructure (pre Sept 23 divestment)","Downer","100.0000",,2023/09/30,"Classification","-34.921297","138.604655","310",,
"Downer","_CLOSED_Adelaide Light Rail - North Terrace Tramli","Other","L9.D.20143004","L9.D.20143004","","","SA","Adelaide","SA","","","South Australia","Australia",,"Y_Non Operational Control","Y_Non Operational Control","DT Infrastructure (post Sept Divestment)","Downer","100.0000",2023/10/01,,"Classification","-34.921297","138.604655","310",,
"Downer","_CLOSED_AE Smith - Burleigh","Branch Office","L9.S.13000757","9165","","12/8 Fortitude Crescent
BURLEIGH HEADS  QLD  4220",,,,,"","New South Wales","Australia",,"ADS Backup","ADS Backup","ADS Backup","Downer","100.0000",,,"Portfolio",,,"692",,
"Downer","_CLOSED_AE Smith - Burleigh","Branch Office","L9.S.13000757","9165","","12/8 Fortitude Crescent
BURLEIGH HEADS  QLD  4220",,,,,"","New South Wales","Australia",,"Operational Control","Operational Control","Asset & Development Services (Baseline)","Downer","100.0000",,2023/06/30,"Classification",,,"692",,
"Downer","_CLOSED_AE Smith - Burleigh","Branch Office","L9.S.13000757","9165","","12/8 Fortitude Crescent
BURLEIGH HEADS  QLD  4220",,,,,"","New South Wales","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Asset & Development Services (FY24 & Beyond)","Downer","100.0000",2023/07/01,,"Classification",,,"692",,
"Downer","_CLOSED_AE Smith - Canning Vale","Wharf","L9.S.16015134","Loc Ref","","","15 Canvale Rd","Canning Vale","WA","6155","Australia","Western Australia","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Asset & Development Services (ADS)","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_AE Smith - Eagle Farm","Branch Office","L9.S.16015125","9013","","","Lot 801 65 Links Ave","Eagle Farm","QLD","4009","","Queensland","Australia",,"ADS Backup","ADS Backup","ADS Backup","Downer","100.0000",,,"Portfolio","-27.436443","153.086368","692",,
"Downer","_CLOSED_AE Smith - Eagle Farm","Branch Office","L9.S.16015125","9013","","","Lot 801 65 Links Ave","Eagle Farm","QLD","4009","","Queensland","Australia",,"Operational Control","Operational Control","Asset & Development Services (Baseline)","Downer","100.0000",,2023/06/30,"Classification","-27.436443","153.086368","692",,
"Downer","_CLOSED_AE Smith - Eagle Farm","Branch Office","L9.S.16015125","9013","","","Lot 801 65 Links Ave","Eagle Farm","QLD","4009","","Queensland","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Asset & Development Services (FY24 & Beyond)","Downer","100.0000",2023/07/01,,"Classification","-27.436443","153.086368","692",,
"Downer","_CLOSED_AE Smith - Eagle Farm, Harvey St","Office","L9.S.13001004","9128","","","Harvey St","Eagle Farm","QLD","4009","","Brisbane","Australia",,"ADS Backup","ADS Backup","ADS Backup","Downer","100.0000",,,"Portfolio","-27.437252","153.093614","692",,
"Downer","_CLOSED_AE Smith - Eagle Farm, Harvey St","Office","L9.S.13001004","9128","","","Harvey St","Eagle Farm","QLD","4009","","Brisbane","Australia",,"Operational Control","Operational Control","Asset & Development Services (Baseline)","Downer","100.0000",,2023/06/30,"Classification","-27.437252","153.093614","692",,
"Downer","_CLOSED_AE Smith - Eagle Farm, Harvey St","Office","L9.S.13001004","9128","","","Harvey St","Eagle Farm","QLD","4009","","Brisbane","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Asset & Development Services (FY24 & Beyond)","Downer","100.0000",2023/07/01,,"Classification","-27.437252","153.093614","692",,
"Downer","_CLOSED_AE Smith - Eagle Farm, Schneider Rd","Branch Office","L9.S.13001052","9127","","","80 Schneider Road","Eagle Farm","QLD","4009","Australia","Brisbane","Australia",,"ADS Backup","ADS Backup","ADS Backup","Downer","100.0000",,,"Portfolio","-27.423892","153.085062","692",,
"Downer","_CLOSED_AE Smith - Eagle Farm, Schneider Rd","Branch Office","L9.S.13001052","9127","","","80 Schneider Road","Eagle Farm","QLD","4009","Australia","Brisbane","Australia",,"Operational Control","Operational Control","Asset & Development Services (Baseline)","Downer","100.0000",,2023/06/30,"Classification","-27.423892","153.085062","692",,
"Downer","_CLOSED_AE Smith - Eagle Farm, Schneider Rd","Branch Office","L9.S.13001052","9127","","","80 Schneider Road","Eagle Farm","QLD","4009","Australia","Brisbane","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Asset & Development Services (FY24 & Beyond)","Downer","100.0000",2023/07/01,,"Classification","-27.423892","153.085062","692",,
"Downer","_CLOSED_AE Smith - Knoxfield","Wharf","L9.S.16012601","","","","10 Brand Rd","Knoxfield","VIC","3180","","Victoria","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Asset & Development Services (ADS)","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_AE Smith - Mackay","Branch Office","L9.S.3197.003.020.9M","9012","","","U4, 269 Richardson Rd","Kawana","QLD","4701","Australia","Queensland","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Asset & Development Services (ADS)","Downer","100.0000",,,"Classification",,,"                            696",,
"Downer","_CLOSED_AE Smith - Manunda","Wharf","","","","","1/13 Donaldson St","Manunda","QLD","4870","","Queensland","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Asset & Development Services (ADS)","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_AE Smith - Mornington","Branch Office","L9.S.13001061","9014","","","U 2 4 Yamada Place","Mornington","TAS","7018","Australia","Tasmania","Australia",,"ADS Backup","ADS Backup","ADS Backup","Downer","100.0000",,,"Portfolio","-42.862696","147.399802","692",,
"Downer","_CLOSED_AE Smith - Mornington","Branch Office","L9.S.13001061","9014","","","U 2 4 Yamada Place","Mornington","TAS","7018","Australia","Tasmania","Australia",,"Operational Control","Operational Control","Asset & Development Services (Baseline)","Downer","100.0000",,2023/06/30,"Classification","-42.862696","147.399802","692",,
"Downer","_CLOSED_AE Smith - Mornington","Branch Office","L9.S.13001061","9014","","","U 2 4 Yamada Place","Mornington","TAS","7018","Australia","Tasmania","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Asset & Development Services (FY24 & Beyond)","Downer","100.0000",2023/07/01,,"Classification","-42.862696","147.399802","692",,
"Downer","_CLOSED_AE Smith - Mortlake","Branch Office","L9.S.13000753","9015","","Moved to Victoria Road, Gladesville from 1/6/2019","13-15 McDonald St","Mortlake","NSW","2137","","New South Wales","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Asset & Development Services (ADS)","Downer","100.0000",,2019/06/30,"Classification","-33.842053","151.106519","696",,
"Downer","_CLOSED_AE Smith - Mulgrave","Branch Office","L9.S.16015131","9016","","Lease ended 2/12/2021","21-29 Miles St","Mulgrave","VIC","3170","","Mulgrave","Australia",,"ADS Backup","ADS Backup","ADS Backup","Downer","100.0000",,,"Portfolio","-37.923024","145.153374","692",,
"Downer","_CLOSED_AE Smith - Mulgrave","Branch Office","L9.S.16015131","9016","","Lease ended 2/12/2021","21-29 Miles St","Mulgrave","VIC","3170","","Mulgrave","Australia",,"Operational Control","Operational Control","Asset & Development Services (Baseline)","Downer","100.0000",,2023/06/30,"Classification","-37.923024","145.153374","692",,
"Downer","_CLOSED_AE Smith - Mulgrave","Branch Office","L9.S.16015131","9016","","Lease ended 2/12/2021","21-29 Miles St","Mulgrave","VIC","3170","","Mulgrave","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Asset & Development Services (FY24 & Beyond)","Downer","100.0000",2023/07/01,,"Classification","-37.923024","145.153374","692",,
"Downer","_CLOSED_AE Smith - Northgate","Wharf","","","","","115 Crockford St","Northgate","QLD","4013","","Queensland","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Asset & Development Services (ADS)","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_AE Smith - Scoresby","Branch Office","L9.S.13001039","9018","","","20-22 Janine St","Scoresby","VIC","3179","","Victoria","Australia",,"ADS Backup","ADS Backup","ADS Backup","Downer","100.0000",,,"Portfolio","-37.900965","145.230266","692",,
"Downer","_CLOSED_AE Smith - Scoresby","Branch Office","L9.S.13001039","9018","","","20-22 Janine St","Scoresby","VIC","3179","","Victoria","Australia",,"Operational Control","Operational Control","Asset & Development Services (Baseline)","Downer","100.0000",,2023/06/30,"Classification","-37.900965","145.230266","692",,
"Downer","_CLOSED_AE Smith - Scoresby","Branch Office","L9.S.13001039","9018","","","20-22 Janine St","Scoresby","VIC","3179","","Victoria","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Asset & Development Services (FY24 & Beyond)","Downer","100.0000",2023/07/01,,"Classification","-37.900965","145.230266","692",,
"Downer","_CLOSED_AE Smith - South Gladstone","Wharf","","","","","U10, 18 McCann St","South Gladstone","QLD","4680","Australia","Queensland","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Asset & Development Services (ADS)","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_AE Smith - Townsville","Wharf","","","","","9 Corporate Cres","Garbutt","QLD","4814","","Queensland","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Asset & Development Services (ADS)","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_Aldoga TL - Office","Office","L9.J.37740112","","","",,,,,"","Queensland","Australia",,"Y_Non Operational Control","Y_Non Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2023/07/05
"Downer","_CLOSED_Aldoga TL - Site","Site","L9.J.37740112","","","",,,,,"","Queensland","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2023/07/05
"Downer","_CLOSED_Altona-Rail","Other","L9.RAL.032","1111","","","7 Westlink Court","Altona","Victoria","3018","Australia","Victoria","Australia",,"Z_HISTORICAL_Y_Non Operational Control","Z_HISTORICAL_Y_Non Operational Control","Social Infra","Downer","100.0000",,,"Classification","-37.857","144.789","239",,2018/06/30
"Downer","_CLOSED_Anglo TXL","Site","L9.J.37240023","37240023","","",,,,,"","Moranbah","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,"310",2023/12/06,2024/10/12
"Downer","_CLOSED_APA SA","Depot","L9.J.24170135","L9.J.24170135","","Duplicate location of Gepps Cross. (Part of the SA Gas business office)",,,,,"","South Australia","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2022/06/30
"Downer","_CLOSED_Asphalt _Whangarei","Other","L9.DNZJ.3502","5010","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","116-118 Port Road","Whangarei","Northland","9016","New Zealand","Whangarei","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-35.7431694","174.3415903","310",2017/07/01,
"Downer","_CLOSED_Asphalt Prod - Mowbray (OLD)","Asphalt Plant","L9.J.170360","182","","previously used L9.J.17030565, which has now transferred to New Mowbray Asphalt Envizi location. Replaced with L9.J.170360","Remount Road","Mowbray","TAS","7248","Australia","Tasmania","Australia",,"Asphalt Plants","Asphalt Plants","Asphalt Plants","Downer","100.0000",,,"Portfolio","-41.399","147.162","170",,
"Downer","_CLOSED_Asphalt Prod - Mowbray (OLD)","Asphalt Plant","L9.J.170360","182","","previously used L9.J.17030565, which has now transferred to New Mowbray Asphalt Envizi location. Replaced with L9.J.170360","Remount Road","Mowbray","TAS","7248","Australia","Tasmania","Australia",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-41.399","147.162","170",,
"Downer","_CLOSED_Asphalt Prod - Rosehill (OLD)","Asphalt Plant","L9.J.17010964","248","","Vacated this location at the end of June 2022 and shifted operations to Rosehill - Devon St. Please refer to attachments for further information.","1 Unwin Street","Rosehill","NSW","2142","Australia","Lidcombe","Australia",,"Asphalt Plants","Asphalt Plants","Asphalt Plants","Downer","100.0000",,,"Portfolio","-33.828","151.023","170",,2023/02/28
"Downer","_CLOSED_Asphalt Prod - Rosehill (OLD)","Asphalt Plant","L9.J.17010964","248","","Vacated this location at the end of June 2022 and shifted operations to Rosehill - Devon St. Please refer to attachments for further information.","1 Unwin Street","Rosehill","NSW","2142","Australia","Lidcombe","Australia",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-33.828","151.023","170",,2023/02/28
"Downer","_CLOSED_Asphalt_Allied-JV","Industrial","","5295","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY19",,,,,"","Tauranga","New Zealand",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Transport & Infrastructure","Downer","100.0000",,,"Classification",,,"310",,
"Downer","_CLOSED_Asphalt_Auckland","Other","L9.DNZJ.3503","5011","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","645 Great South Rd, Penrose","Auckland","Auckland","3200","New Zealand","Panmure","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-36.9152136","174.820280899999","310",2017/07/01,
"Downer","_CLOSED_Asphalt_Dunedin","Other","L9.DNZJ.3508","5012","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","102 Parry Street","Dunedin","Otago","9810","New Zealand","Dunedin","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-45.8698393","170.5315648","310",2017/07/01,
"Downer","_CLOSED_Asphalt_Hamilton","Other","L9.DNZJ.3504","5013","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","16 Manchester Place, Te Rapa","Hamilton","Waikato","4312","New Zealand","Hamilton","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-37.754068","175.2370587","310",2017/07/01,
"Downer","_CLOSED_Asphalt_Invercargill","Other","L9.DNZJ.3509","5014","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","210 Mersey Street, Invercargill West","Invercargill","Southland","6035","New Zealand","Invercargill","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-46.4152187","168.3417097","310",2017/07/01,
"Downer","_CLOSED_Asphalt_Isacc-JV","Industrial","L9.DNZJ.3098","5294","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY19",,,,,"","Christchurch","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification",,,"310",,
"Downer","_CLOSED_Asphalt_Mobile","Asphalt Plant","L9.DNZJ.3512","5286","","Mobile Asphalt plant relocated across NZ depending on contracts - assigned to head office as main location",,,,,"","Auckland City","New Zealand",,"Asphalt Plants","Asphalt Plants","Asphalt Plants","Downer","100.0000",,,"Portfolio",,,,,
"Downer","_CLOSED_Asphalt_Mobile","Asphalt Plant","L9.DNZJ.3512","5286","","Mobile Asphalt plant relocated across NZ depending on contracts - assigned to head office as main location",,,,,"","Auckland City","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification",,,,,
"Downer","_CLOSED_Asphalt_New Plymouth","Other","L9.DNZJ.3505","5015","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","106 Rifle Range Rd, Waiwhakaiho","New Plymouth","Taranaki","9814","New Zealand","New Plymouth","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-39.042342","174.119168299999","310",2017/07/01,
"Downer","_CLOSED_Asphalt_Wellington","Other","L9.DNZJ.3507","5016","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","Kiwi Point, 137 Centennial Highway, Ngauranga","Wellington","Wellington","8082","New Zealand","Wellington","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-41.237631","174.805085999999","310",2017/07/01,
"Downer","_CLOSED_AusNet Mornington BESS","Site","L9.J.24135002","24135002","","",,,,,"","Victoria","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",2024/05/01,,"Classification",,,,,2025/08/05
"Downer","_CLOSED_B2B - Seymour Whyte JV","Other","L9.J.18710001","L9.J.18710001","L9.J.18710001","",,,,,"","New South Wales","Australia",,"Y_Non Operational Control","Y_Non Operational Control","DT Infrastructure","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_Bango Wind Farm","Other","L9.J.37750008","IP-37750008","","Operational control.
Changed from Ref No 7040",,,,,"","New South Wales","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,
"Downer","_closed_Barwon Water","Depot","","7042","","",,,,,"","Geelong","Australia",,"Y_Non Operational Control","Y_Non Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_Beryl Solar Farm Construction Project","Other","L9.J.37110018","7037","","","39 Dehli Road","North Ryde","NSW","2113","Australia","Gulgong","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification","-33.799820","151.143234","310",,
"Downer","_CLOSED_BHP - Nickel West (NiW)","Other","L9.J.38280123","38280123","","",,,,,"","North Ryde","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2026/07/22
"Downer","_CLOSED_BHP Maintenance Services","Other","L9.J.38280046","38280046","","",,,,,"","North Ryde","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2026/07/22
"Downer","_CLOSED_BHP Yarnima TLine SP1 & SP2","Other","L9.J.2413009501","2413009501","","",,,,,"","North Ryde","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2026/07/22
"Downer","_CLOSED_Bitumen_Bluff","Other","L9.DNZJ.3042","5017","","Storage and sale of Bitumen, Production and sale of Cutback Bitumen, Polymer Modified Bitumen and Bitumen Emulsions - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","50 Foreshore Rd","Bluff","Southland","3116","New Zealand","Bluff","New Zealand",,"Bitumen Plants","Bitumen Plants","Bitumen Plants","Downer","100.0000",,,"Portfolio","-46.5979746999999","168.342539","170",2017/07/01,
"Downer","_CLOSED_Bitumen_Bluff","Other","L9.DNZJ.3042","5017","","Storage and sale of Bitumen, Production and sale of Cutback Bitumen, Polymer Modified Bitumen and Bitumen Emulsions - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","50 Foreshore Rd","Bluff","Southland","3116","New Zealand","Bluff","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-46.5979746999999","168.342539","170",2017/07/01,
"Downer","_CLOSED_Bitumen_Emulco-JV","Industrial","L9.DNZJ.3099","5296","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY19",,,,,"","Rotorua","New Zealand",,"Bitumen Plants","Bitumen Plants","Bitumen Plants","Downer","100.0000",,,"Portfolio",,,"310",,
"Downer","_CLOSED_Bitumen_Emulco-JV","Industrial","L9.DNZJ.3099","5296","","Production of materials for road construction - New facilities established for more granular reporting and to reflect new structure for FY19",,,,,"","Rotorua","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification",,,"310",,
"Downer","_CLOSED_Bitumen_Lyttelton","Other","L9.DNZJ.3041","5018","","Storage and sale of Bitumen, Production and sale of Cutback Bitumen, Polymer Modified Bitumen and Bitumen Emulsions - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","Lyttelton Bitumen Terminal Charlotte Jane Quay, Port Lyttelton","Lyttelton","Canterbury","4340","New Zealand","Christchurch","New Zealand",,"Bitumen Plants","Bitumen Plants","Bitumen Plants","Downer","100.0000",,,"Portfolio","-43.6105611","172.7041904","170",2017/07/01,
"Downer","_CLOSED_Bitumen_Lyttelton","Other","L9.DNZJ.3041","5018","","Storage and sale of Bitumen, Production and sale of Cutback Bitumen, Polymer Modified Bitumen and Bitumen Emulsions - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","Lyttelton Bitumen Terminal Charlotte Jane Quay, Port Lyttelton","Lyttelton","Canterbury","4340","New Zealand","Christchurch","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-43.6105611","172.7041904","170",2017/07/01,
"Downer","_CLOSED_Bitumen_Mt Maunganui","Other","L9.DNZJ.3040","5019","","Storage and sale of Bitumen, Production and sale of Cutback Bitumen, Polymer Modified Bitumen and Bitumen Emulsions - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Products"" for historical data.","198 Totara Street, Mt Maunganui","Tauranga","Bay of Plenty","3116","New Zealand","Tauranga","New Zealand",,"Bitumen Plants","Bitumen Plants","Bitumen Plants","Downer","100.0000",,,"Portfolio","-37.6638657","176.186895","170",2017/07/01,
